iter	Logloss
0	0.6563395033
1	0.6274416552
2	0.6005687026
3	0.5784360967
4	0.5561012398
5	0.5394331838
6	0.521999036
7	0.510377239
8	0.5004594873
9	0.4886292422
10	0.4808677827
11	0.473809498
12	0.4656997707
13	0.4608688975
14	0.4557982261
15	0.4505619471
16	0.4452162237
17	0.4415674876
18	0.4366668717
19	0.433744285
20	0.4302020263
21	0.4271169815
22	0.4248325594
23	0.4221406693
24	0.4197827919
25	0.417712534
26	0.4161494815
27	0.4138563324
28	0.4122284268
29	0.4102966002
30	0.4088807426
31	0.4077424651
32	0.4066347482
33	0.4056511596
34	0.4042888486
35	0.4032488025
36	0.4025517905
37	0.4016342066
38	0.4009368156
39	0.4003717635
40	0.4000043257
41	0.3993806235
42	0.3987886611
43	0.3981300684
44	0.3978280084
45	0.3971594906
46	0.3968701224
47	0.3964510645
48	0.3958758332
49	0.3954822609
50	0.3951030521
51	0.394651249
52	0.3941780185
53	0.3939059184
54	0.393645629
55	0.3932555103
56	0.3930825811
57	0.3929284159
58	0.3926689385
59	0.3924452379
60	0.3920876152
61	0.3918412791
62	0.3914953129
63	0.3912703323
64	0.3910739704
65	0.3907652938
66	0.3905464106
67	0.3902702809
68	0.3901983895
69	0.3898551273
70	0.3894772154
71	0.3892997736
72	0.3892222486
73	0.3889718661
74	0.3887098491
75	0.388580758
76	0.3882911906
77	0.3880515563
78	0.3879137446
79	0.3876909689
80	0.387459497
81	0.3873741317
82	0.3872632638
83	0.387169541
84	0.3871112812
85	0.3869875484
86	0.3867024839
87	0.3866334136
88	0.3865110078
89	0.3861032329
90	0.3858403425
91	0.385392545
92	0.3851967956
93	0.3851060933
94	0.3850328169
95	0.3848419956
96	0.3846899342
97	0.3845576817
98	0.3840484124
99	0.3839764723
100	0.3838344653
101	0.3836270447
102	0.3835279063
103	0.3833663814
104	0.3833188086
105	0.383200389
106	0.383162786
107	0.3830289238
108	0.3826561304
109	0.3824406903
110	0.3823101444
111	0.3822833848
112	0.3822245286
113	0.3821150535
114	0.3820732872
115	0.3819949756
116	0.3818269639
117	0.3816703403
118	0.3816293104
119	0.3814189747
120	0.381378597
121	0.3811105146
122	0.3810246245
123	0.3809870244
124	0.380684784
125	0.3806263553
126	0.3805804991
