iter	Passed	Remaining
0	132	132781
1	140	69943
2	147	48897
3	156	39047
4	166	33078
5	177	29375
6	187	26529
7	196	24376
8	204	22571
9	213	21177
10	223	20081
11	233	19221
12	242	18432
13	252	17775
14	260	17094
15	269	16581
16	278	16096
17	287	15694
18	296	15328
19	305	14993
20	317	14791
21	325	14485
22	335	14239
23	344	14017
24	355	13857
25	365	13694
26	375	13529
27	385	13375
28	394	13217
29	404	13083
30	414	12968
31	423	12809
32	432	12672
33	441	12549
34	451	12453
35	460	12341
36	469	12214
37	478	12125
38	487	12006
39	497	11937
40	506	11855
41	517	11805
42	531	11833
43	542	11793
44	552	11731
45	563	11678
46	573	11629
47	583	11571
48	595	11557
49	605	11502
50	615	11450
51	628	11449
52	638	11412
53	648	11366
54	659	11325
55	669	11285
56	679	11236
57	689	11192
58	698	11141
59	708	11100
60	717	11039
61	726	10996
62	737	10968
63	746	10922
64	757	10902
65	768	10870
66	778	10839
67	788	10809
68	797	10767
69	808	10737
70	818	10710
71	827	10660
72	837	10629
73	845	10582
74	855	10549
75	865	10517
76	876	10505
77	886	10478
78	895	10441
79	904	10407
80	916	10399
81	926	10369
82	935	10339
83	948	10345
84	959	10325
85	968	10294
86	978	10266
87	989	10254
88	1000	10236
89	1009	10206
90	1022	10216
91	1046	10329
92	1055	10294
93	1065	10266
94	1074	10239
95	1083	10204
96	1093	10181
97	1103	10153
98	1112	10126
99	1123	10112
100	1132	10080
101	1142	10060
102	1152	10038
103	1161	10009
104	1171	9985
105	1180	9953
106	1189	9925
107	1197	9893
108	1207	9872
109	1216	9845
110	1226	9823
111	1236	9799
112	1244	9772
113	1255	9754
114	1263	9721
115	1275	9721
116	1285	9703
117	1293	9671
118	1304	9656
119	1312	9626
120	1319	9581
121	1328	9563
122	1338	9544
123	1348	9524
124	1357	9500
125	1366	9478
126	1375	9456
127	1385	9435
128	1393	9408
129	1403	9391
130	1413	9377
131	1422	9353
132	1433	9344
133	1442	9321
134	1452	9306
135	1463	9295
136	1471	9268
137	1480	9246
138	1488	9219
139	1498	9207
140	1508	9191
141	1518	9176
142	1528	9161
143	1537	9136
144	1547	9125
145	1556	9107
146	1565	9085
147	1575	9067
148	1584	9048
149	1595	9043
150	1605	9026
151	1614	9008
152	1624	8994
153	1633	8971
154	1645	8971
155	1658	8974
156	1670	8970
157	1680	8956
158	1690	8941
159	1698	8916
160	1707	8898
161	1716	8881
162	1724	8855
163	1733	8835
164	1740	8809
165	1749	8788
166	1757	8764
167	1765	8744
168	1773	8720
169	1781	8699
170	1789	8673
171	1797	8652
172	1805	8629
173	1814	8611
174	1821	8584
175	1830	8568
176	1840	8556
177	1850	8545
178	1858	8526
179	1867	8506
180	1875	8487
181	1884	8469
182	1894	8456
183	1903	8439
184	1913	8428
185	1925	8425
186	1937	8422
187	1950	8422
188	1961	8415
189	1971	8405
190	1985	8408
191	1996	8400
192	2004	8382
193	2015	8373
194	2026	8364
195	2036	8351
196	2045	8339
197	2056	8330
198	2066	8319
199	2077	8311
200	2087	8296
201	2096	8283
202	2108	8277
203	2116	8260
204	2127	8249
205	2136	8233
206	2148	8230
207	2161	8229
208	2171	8218
209	2180	8204
210	2190	8189
211	2202	8184
212	2211	8170
213	2220	8157
214	2229	8141
215	2240	8132
216	2256	8142
217	2270	8144
218	2282	8138
219	2291	8124
220	2301	8112
221	2310	8096
222	2324	8099
223	2337	8096
224	2349	8093
225	2359	8080
226	2369	8067
227	2381	8065
228	2392	8056
229	2403	8045
230	2414	8037
231	2422	8019
232	2436	8019
233	2449	8016
234	2459	8007
235	2470	7998
236	2481	7988
237	2492	7981
238	2503	7970
239	2513	7960
240	2523	7947
241	2531	7930
242	2542	7920
243	2551	7904
244	2561	7892
245	2570	7877
246	2578	7860
247	2588	7848
248	2596	7831
249	2608	7825
250	2619	7816
251	2629	7805
252	2639	7793
253	2649	7781
254	2658	7767
255	2667	7753
256	2676	7737
